key,name,postedAt,subject,description,score,recommended
# base entity
review-00,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
# name - standard variations
review-01,"L",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-02,"Lo",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-05,โลเร็ม อิปซัม,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-06,لوريم إيبسوم,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-07,洛伦·伊普森,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-08,<marquee>Hacked</marquee>,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-09,<script>alert(‘Hacked!’);</script>,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-10,'' or 'A' = 'A ,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
# name - no singular value
# postedAt - standard deviations
review-11,"Lorem ipsum dolor sit ame",2000/01/01  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-12,"Lorem ipsum dolor sit ame",2000/01/01  00:01,Great Service,The service was excellent and very fast.,9.5,true
review-13,"Lorem ipsum dolor sit ame",2024/12/31  23:59,Great Service,The service was excellent and very fast.,9.5,true
review-14,"Lorem ipsum dolor sit ame",2025/01/01  00:00,Great Service,The service was excellent and very fast.,9.5,true
# postedAt - singular values
review-15,"Lorem ipsum dolor sit ame",2012/02/29  00:00,Great Service,The service was excellent and very fast.,9.5,true
# subject - standard deviation
review-16,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"L",The service was excellent and very fast.,9.5,true
review-17,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lo",The service was excellent and very fast.,9.5,true
review-18,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",The service was excellent and very fast.,9.5,true
review-19,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",The service was excellent and very fast.,9.5,true
review-20,"Lorem ipsum dolor sit ame",2012/07/02  00:00,โลเร็ม อิปซัม,The service was excellent and very fast.,9.5,true
review-21,"Lorem ipsum dolor sit ame",2012/07/02  00:00,لوريم إيبسوم,The service was excellent and very fast.,9.5,true
review-22,"Lorem ipsum dolor sit ame",2012/07/02  00:00,洛伦·伊普森,The service was excellent and very fast.,9.5,true
review-23,"Lorem ipsum dolor sit ame",2012/07/02  00:00,<marquee>Hacked</marquee>,The service was excellent and very fast.,9.5,true
review-24,"Lorem ipsum dolor sit ame",2012/07/02  00:00,<script>alert(‘Hacked!’);</script>,The service was excellent and very fast.,9.5,true
review-25,"Lorem ipsum dolor sit ame",2012/07/02  00:00,'' or 'A' = 'A,The service was excellent and very fast.,9.5,true
# subject - no singular values
# description - standard deviation
review-26,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,"L",9.5,true
review-27,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,"Lo",9.5,true
review-28,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",9.5,true
review-29,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure doloro",9.5,true
review-30,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,โลเร็ม อิปซัม,9.5,true
review-31,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,لوريم إيبسوم,9.5,true	
review-32,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,洛伦·伊普森,9.5,true
review-33,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,<marquee>Hacked</marquee>,9.5,true
review-34,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,<script>alert(‘Hacked!’);</script>,9.5,true
review-35,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,'' or 'A' = 'A,9.5,true
# description - no singular values
# score - standard deviation
review-36,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,0.00,true
review-37,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,0.01,true
review-38,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.99,true
review-39,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,10.00,true
review-40,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,null,true
# score - no singular values
# recommended - standard deviation
review-41,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-42,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,false
review-43,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,null